activity_id,customer_id,activity_date,activity_type
1,1,2026-09-05,login
2,1,2026-02-18,login
3,1,2025-10-01,login
4,1,2026-08-23,login
5,1,2026-02-26,cart_abandon
6,1,2025-02-21,support_ticket
7,1,2026-09-28,cart_abandon
8,1,2025-11-18,login
9,1,2025-05-13,login
10,1,2026-09-14,login
11,1,2026-09-07,login
12,1,2025-03-04,login
13,1,2026-02-22,login
14,1,2025-11-12,login
15,1,2025-10-21,support_ticket
16,1,2026-08-20,cart_abandon
17,1,2025-06-22,login
18,1,2026-05-13,login
19,1,2026-03-21,login
20,1,2026-09-19,login
21,1,2026-08-19,support_ticket
22,1,2026-06-14,login
23,1,2025-11-27,cart_abandon
24,1,2025-10-31,login
25,1,2025-12-24,support_ticket
26,1,2026-07-22,login
27,1,2025-11-30,login
28,1,2025-04-27,cart_abandon
29,2,2026-03-16,login
30,2,2026-03-23,login
31,2,2025-12-07,cart_abandon
32,2,2025-11-26,login
33,2,2025-07-31,login
34,2,2026-05-04,cart_abandon
35,2,2025-02-01,login
36,2,2025-11-30,login
37,2,2026-03-23,login
38,2,2025-11-17,cart_abandon
39,2,2025-06-27,login
40,2,2026-06-02,login
41,2,2026-07-12,login
42,2,2025-10-16,login
43,2,2026-01-17,login
44,2,2025-05-30,cart_abandon
45,2,2026-03-17,login
46,2,2026-08-18,login
47,2,2025-11-16,login
48,2,2025-06-22,login
49,2,2025-05-14,login
50,2,2025-06-04,cart_abandon
51,2,2025-10-15,cart_abandon
52,2,2025-10-11,login
53,2,2025-06-02,cart_abandon
54,3,2025-10-26,login
55,3,2026-05-22,cart_abandon
56,3,2025-09-01,cart_abandon
57,3,2026-08-09,login
58,3,2026-08-25,support_ticket
59,3,2025-02-16,login
60,3,2025-06-02,login
61,3,2025-08-26,login
62,3,2025-11-29,cart_abandon
63,3,2025-10-23,login
64,3,2026-09-25,login
65,3,2025-07-04,login
66,3,2026-04-28,login
67,3,2026-01-15,login
68,3,2026-05-12,support_ticket
69,3,2026-07-05,login
70,3,2025-05-07,login
71,3,2026-01-16,support_ticket
72,3,2026-09-22,login
73,3,2025-08-12,login
74,3,2025-05-01,login
75,3,2025-09-26,login
76,3,2026-06-25,support_ticket
77,3,2025-12-20,support_ticket
78,3,2025-06-17,support_ticket
79,3,2026-04-28,login
80,3,2026-05-11,login
81,3,2026-03-25,support_ticket
82,3,2025-11-26,login
83,3,2026-01-25,login
84,3,2025-05-05,login
85,3,2025-09-09,login
86,3,2026-07-18,login
87,3,2026-04-28,login
88,3,2025-09-07,login
89,3,2025-09-26,login
90,4,2026-05-30,login
91,4,2025-06-17,support_ticket
92,4,2025-04-07,login
93,4,2025-10-23,login
94,4,2026-03-10,login
95,4,2026-08-30,login
96,4,2026-05-07,login
97,4,2025-09-29,login
98,4,2026-02-13,support_ticket
99,4,2026-05-27,login
100,4,2025-07-29,login
101,4,2026-02-24,login
102,4,2026-06-07,login
103,4,2026-06-11,login
104,5,2025-05-20,support_ticket
105,5,2025-04-09,login
106,5,2025-08-02,cart_abandon
107,5,2025-12-01,login
