customer_id,name,segment,region_id,signup_date,status
1,"Rodriguez, Figueroa and Sanchez",SMB,1,2025-03-18,active
2,Doyle Ltd,Mid-Market,5,2025-12-01,active
3,"Mcclain, Miller and Henderson",Enterprise,4,2026-01-12,active
4,Davis and Sons,Mid-Market,3,2026-04-20,active
5,"Guzman, Hoffman and Baldwin",SMB,3,2026-01-13,active
6,"Gardner, Robinson and Lawrence",SMB,6,2025-05-26,active
7,Blake and Sons,Enterprise,1,2025-09-11,active
8,"Henderson, Ramirez and Lewis",Enterprise,5,2025-10-27,active
9,Garcia-James,SMB,2,2026-09-20,active
10,Abbott-Munoz,Mid-Market,1,2025-12-20,active
11,Blair PLC,SMB,4,2026-02-20,active
12,Dudley Group,SMB,6,2026-04-22,active
13,Arnold Ltd,SMB,5,2025-09-08,active
14,"Mcclure, Ward and Lee",SMB,5,2026-09-08,active
15,Williams and Sons,SMB,5,2026-03-16,active
16,Galloway-Wyatt,Mid-Market,5,2026-06-30,churned
17,James Group,SMB,4,2026-05-01,active
18,"Flowers, Martin and Kelly",SMB,1,2026-02-12,active
19,"Adams, Zuniga and Wong",SMB,6,2025-02-19,active
20,"Reid, Ferguson and Sanchez",SMB,3,2026-01-20,active
21,Gray-Mayo,SMB,4,2025-04-20,active
22,"Watts, Robinson and Nguyen",SMB,3,2026-02-01,active
23,Perez Inc,SMB,2,2026-04-02,active
24,Morales-Jones,Mid-Market,6,2025-12-28,active
25,"Walter, Edwards and Rios",Enterprise,5,2025-08-06,active
26,Wilkerson-Day,SMB,4,2025-03-08,active
27,Baker and Sons,Enterprise,3,2026-03-14,active
28,"Hoffman, Baker and Richards",Enterprise,5,2026-03-31,active
29,"Ross, Robinson and Bright",Mid-Market,4,2025-11-17,active
30,"Snyder, Campos and Callahan",Mid-Market,3,2026-04-11,churned
31,Burton Ltd,Mid-Market,3,2026-05-19,churned
32,Carlson-Cruz,Mid-Market,2,2025-12-08,active
33,"Ferrell, Rice and Maddox",Mid-Market,1,2025-03-01,churned
34,Frazier Inc,SMB,4,2026-07-13,active
35,"Dyer, Potter and Mack",Enterprise,6,2025-11-10,active
36,Rodriguez-Graham,SMB,1,2026-03-15,churned
37,Smith-Bowen,Mid-Market,6,2026-08-07,active
38,"Baker, Mason and White",SMB,5,2025-09-08,active
39,Harrell LLC,SMB,2,2026-02-12,active
40,"Romero, Gonzalez and Brooks",SMB,4,2025-02-12,active
41,Ryan PLC,SMB,1,2026-07-22,active
42,George Group,SMB,5,2025-03-08,active
