campaign_id,name,region_id,start_date,channel,spend,end_date
1,Iterate Ubiquitous E-Business Campaign,1,2026-01-01,partner,16855.53,2026-01-15
2,Seize Vertical E-Business Campaign,6,2026-02-01,mobile,45388.58,2026-03-03
3,Revolutionize Viral Channels Campaign,5,2025-07-01,partner,32427.69,2025-08-02
4,Optimize Leading-Edge Niches Campaign,6,2025-09-01,mobile,12714.78,2025-09-21
5,Exploit Scalable Initiatives Campaign,6,2026-09-01,partner,5716.31,2026-10-12
6,Cultivate Impactful Portals Campaign,3,2026-05-01,sales_rep,14111.28,2026-05-21
7,E-Enable 24/7 Schemas Campaign,4,2026-05-01,mobile,39892.45,2026-06-13
8,Redefine Clicks-And-Mortar Portals Campaign,4,2026-08-01,sales_rep,9839.64,2026-09-05
9,Whiteboard Back-End Experiences Campaign,3,2026-07-01,partner,37373.68,2026-08-03
10,Reinvent Collaborative Models Campaign,6,2026-07-01,sales_rep,41191.96,2026-07-25
11,Matrix Interactive Deliverables Campaign,4,2025-03-01,sales_rep,35450.27,2025-03-15
12,Aggregate Enterprise Solutions Campaign,1,2026-05-01,sales_rep,26823.85,2026-05-19
13,Mesh Innovative Interfaces Campaign,6,2026-05-01,partner,13268.49,2026-06-02
14,Empower Interactive Eyeballs Campaign,2,2026-05-01,web,32802.88,2026-06-03
15,Innovate Innovative Eyeballs Campaign,1,2025-03-01,web,27423.95,2025-03-30
16,Scale Wireless E-Business Campaign,4,2026-04-01,mobile,1576.53,2026-05-14
17,Innovate Distributed Communities Campaign,1,2025-10-01,web,48949.53,2025-10-17
18,Mesh Extensible E-Markets Campaign,3,2025-10-01,partner,38089.14,2025-10-27
19,Monetize Granular Web-Readiness Campaign,2,2025-09-01,partner,2593.37,2025-09-22
20,Incentivize Next-Generation Channels Campaign,2,2025-07-01,partner,20850.54,2025-08-05
21,Disintermediate User-Centric E-Tailers Campaign,6,2026-06-01,sales_rep,30704.7,2026-07-06
22,Transform Extensible Portals Campaign,4,2025-02-01,partner,43606.97,2025-03-17
23,Evolve Plug-And-Play Paradigms Campaign,3,2026-09-01,web,31472.96,2026-09-21
24,Transition Integrated Technologies Campaign,4,2026-05-01,mobile,10664.99,2026-05-30
25,Whiteboard Integrated Communities Campaign,4,2025-11-01,web,32952.9,2025-12-09
26,Seize Out-Of-The-Box Technologies Campaign,3,2025-09-01,partner,25911.4,2025-10-12
27,Cultivate Revolutionary Roi Campaign,6,2025-07-01,web,22489.88,2025-07-21
28,Strategize Bleeding-Edge Methodologies Campaign,5,2026-09-01,web,31372.7,2026-10-06
29,Disintermediate Cross-Platform Users Campaign,4,2026-03-01,web,44855.95,2026-04-04
30,Innovate Viral Technologies Campaign,3,2025-06-01,mobile,4277.84,2025-06-18
31,Aggregate Vertical Web Services Campaign,1,2026-01-01,partner,20429.33,2026-01-31
32,Evolve Collaborative Architectures Campaign,6,2026-02-01,partner,28120.16,2026-02-19
33,Monetize Transparent Niches Campaign,5,2026-05-01,sales_rep,27491.68,2026-06-10
34,Cultivate Distributed Mindshare Campaign,3,2025-10-01,partner,41125.66,2025-11-13
35,Maximize Vertical E-Services Campaign,3,2025-06-01,partner,30797.94,2025-07-09
36,Drive Sticky Relationships Campaign,6,2025-08-01,sales_rep,4402.93,2025-09-13
37,Incentivize Virtual Niches Campaign,4,2025-12-01,web,21063.02,2025-12-16
38,Facilitate Global Bandwidth Campaign,2,2025-10-01,partner,27221.22,2025-11-11
39,Re-Intermediate Leading-Edge Methodologies Campaign,5,2025-11-01,mobile,29417.88,2025-11-20
40,Scale Cross-Platform Paradigms Campaign,4,2026-09-01,partner,17721.04,2026-10-03
41,Envisioneer Leading-Edge Technologies Campaign,2,2025-06-01,sales_rep,39873.82,2025-07-05
42,Incentivize Best-Of-Breed E-Tailers Campaign,5,2025-10-01,partner,41302.5,2025-11-02
43,Architect Synergistic Solutions Campaign,1,2025-12-01,partner,39229.59,2026-01-13
44,E-Enable Dot-Com Applications Campaign,2,2025-05-01,mobile,31960.39,2025-06-13
45,Harness 24/7 Interfaces Campaign,6,2026-07-01,web,20645.48,2026-07-19
46,Drive Magnetic Eyeballs Campaign,1,2026-01-01,sales_rep,39265.01,2026-01-24
47,Exploit Sticky Infrastructures Campaign,5,2026-03-01,mobile,15340.38,2026-03-26
48,Transform Ubiquitous Deliverables Campaign,3,2025-11-01,sales_rep,16224.95,2025-11-18
49,Target 24/7 Users Campaign,5,2026-06-01,web,11244.73,2026-07-02
50,Streamline 24/365 Action-Items Campaign,1,2026-06-01,mobile,47557.36,2026-06-25
51,Benchmark E-Business Functionalities Campaign,4,2026-01-01,partner,31143.39,2026-02-14
52,Innovate 24/365 Models Campaign,1,2026-05-01,mobile,6123.5,2026-05-25
53,Architect Global Interfaces Campaign,4,2026-08-01,mobile,49711.36,2026-08-30
54,Visualize World-Class E-Services Campaign,3,2025-09-01,partner,46961.36,2025-09-29
55,Integrate Transparent Paradigms Campaign,5,2025-09-01,web,18469.86,2025-10-08
56,Drive Intuitive Infrastructures Campaign,4,2025-11-01,sales_rep,19353.7,2025-12-11
57,Redefine Rich Vortals Campaign,1,2026-01-01,web,5420.83,2026-01-29
58,Synergize Mission-Critical Bandwidth Campaign,4,2025-11-01,sales_rep,40574.29,2025-11-26
59,Deliver Transparent Schemas Campaign,5,2026-01-01,web,23368.1,2026-01-27
60,Drive Value-Added Synergies Campaign,3,2025-02-01,web,28910.35,2025-03-12
