order_id,customer_id,region_id,order_date,channel,status
1,1327,5,2025-02-02,partner,completed
2,4662,4,2025-02-24,sales_rep,completed
3,888,2,2025-02-11,partner,completed
4,3276,6,2025-02-23,web,completed
5,2652,6,2025-02-04,mobile,completed
6,516,1,2025-02-24,mobile,completed
7,3025,3,2025-02-27,web,completed
8,734,5,2025-02-07,web,completed
9,2698,3,2025-02-12,mobile,completed
10,3179,2,2025-02-06,mobile,completed
11,361,6,2025-02-28,web,completed
12,1079,3,2025-02-14,sales_rep,completed
13,1479,2,2025-02-15,partner,completed
14,4642,1,2025-02-27,web,completed
15,1106,2,2025-02-17,web,completed
16,4604,5,2025-02-22,partner,completed
17,2670,6,2025-02-11,partner,completed
18,4744,2,2025-02-01,sales_rep,completed
19,4157,5,2025-02-16,sales_rep,completed
20,1465,6,2025-02-17,mobile,completed
21,2799,5,2025-02-17,web,completed
22,3585,5,2025-02-21,partner,completed
23,392,2,2025-02-21,partner,completed
24,3316,6,2025-02-19,mobile,completed
25,2299,2,2025-02-04,mobile,completed
26,179,6,2025-02-26,web,completed
27,4336,3,2025-02-20,web,completed
28,1328,1,2025-02-20,web,completed
29,4371,4,2025-02-11,sales_rep,completed
30,1034,2,2025-02-10,sales_rep,completed
31,2709,5,2025-02-18,partner,completed
32,1855,1,2025-02-18,sales_rep,completed
33,4465,3,2025-02-09,web,completed
34,4766,1,2025-02-07,mobile,completed
35,3851,5,2025-02-19,mobile,completed
36,4229,3,2025-02-08,partner,completed
37,3845,6,2025-02-19,mobile,completed
38,1468,3,2025-02-09,partner,completed
39,4602,6,2025-02-10,partner,completed
40,2651,6,2025-02-01,web,completed
41,1718,3,2025-02-08,partner,completed
42,962,3,2025-02-11,partner,completed
43,3549,2,2025-02-20,web,completed
44,1388,2,2025-02-03,web,completed
45,3264,6,2025-02-05,partner,completed
46,326,2,2025-02-21,web,completed
47,3175,6,2025-02-09,mobile,completed
48,3214,6,2025-02-15,sales_rep,completed
49,2624,6,2025-02-27,sales_rep,completed
50,3285,3,2025-02-01,mobile,completed
51,4969,1,2025-02-23,web,completed
52,4193,5,2025-02-06,web,completed
53,2198,6,2025-02-11,web,completed
54,4358,2,2025-02-06,partner,completed
55,4773,2,2025-02-07,mobile,completed
56,801,1,2025-02-10,web,completed
57,1795,3,2025-02-24,web,completed
58,3716,2,2025-02-04,web,completed
59,2575,5,2025-02-25,mobile,completed
60,674,1,2025-02-18,web,completed
61,2363,6,2025-02-04,web,completed
62,1869,1,2025-02-03,partner,completed
63,3695,3,2025-02-05,partner,completed
64,2578,3,2025-02-21,sales_rep,completed
65,700,1,2025-02-13,mobile,completed
66,248,3,2025-02-05,partner,completed
67,1437,3,2025-02-10,partner,completed
68,784,1,2025-02-28,partner,completed
69,4382,1,2025-02-24,partner,completed
70,1356,3,2025-02-12,mobile,completed
71,3173,3,2025-02-24,sales_rep,completed
72,638,2,2025-02-19,web,completed
73,2209,2,2025-02-08,mobile,completed
74,4671,1,2025-02-03,web,completed
75,3218,3,2025-02-16,sales_rep,completed
76,1442,4,2025-02-03,sales_rep,completed
77,3739,5,2025-02-06,partner,completed
78,2506,1,2025-02-28,mobile,completed
79,1176,3,2025-02-03,sales_rep,completed
80,4983,2,2025-02-28,partner,completed
81,4688,2,2025-02-23,mobile,completed
82,2834,4,2025-02-05,mobile,completed
83,166,5,2025-02-27,web,completed
84,2058,5,2025-02-08,web,completed
85,2570,6,2025-02-15,partner,completed
86,4649,2,2025-02-04,sales_rep,completed
87,3665,4,2025-02-12,web,completed
88,1113,2,2025-02-19,sales_rep,completed
89,2551,4,2025-02-12,sales_rep,completed
90,898,1,2025-02-20,partner,completed
91,2370,2,2025-02-23,mobile,completed
92,2677,6,2025-02-24,mobile,completed
93,2549,3,2025-02-04,mobile,completed
94,2137,4,2025-02-22,partner,completed
95,2187,2,2025-02-23,mobile,completed
96,3985,6,2025-02-06,sales_rep,completed
97,2530,4,2025-02-22,sales_rep,completed
98,211,2,2025-02-20,sales_rep,completed
99,3705,6,2025-02-16,partner,completed
100,3089,2,2025-02-05,web,completed
101,3479,3,2025-02-10,partner,completed
102,3554,5,2025-02-10,mobile,completed
103,866,5,2025-02-04,sales_rep,completed
104,4860,5,2025-02-10,mobile,completed
105,4952,1,2025-02-07,web,completed
106,729,3,2025-02-09,sales_rep,completed
107,1095,2,2025-02-04,web,completed
108,1232,5,2025-02-11,web,completed
109,4833,3,2025-02-15,web,completed
110,4663,1,2025-02-21,web,completed
111,1326,2,2025-02-13,sales_rep,completed
112,3154,5,2025-02-17,sales_rep,completed
113,1218,5,2025-02-05,sales_rep,completed
114,191,5,2025-02-25,partner,completed
115,1152,4,2025-02-19,mobile,completed
116,387,1,2025-02-12,mobile,completed
117,4239,5,2025-02-05,mobile,completed
118,3928,1,2025-02-20,partner,completed
119,922,4,2025-02-08,mobile,completed
120,2838,6,2025-02-17,web,completed
121,1026,1,2025-02-17,mobile,completed
122,2828,6,2025-02-09,web,completed
123,4480,4,2025-02-15,partner,completed
124,4400,4,2025-02-24,web,completed
125,4166,5,2025-02-10,sales_rep,completed
126,1206,6,2025-02-24,mobile,completed
127,954,3,2025-02-04,partner,completed
128,803,4,2025-02-06,mobile,completed
129,636,5,2025-02-26,partner,completed
130,3070,1,2025-02-24,web,completed
131,3293,2,2025-02-18,mobile,completed
132,4413,3,2025-02-08,sales_rep,completed
