payment_id,order_id,amount,method,paid_at
1,12399,1587.01,credit_card,2026-09-06 12:00:00
2,2614,2520.35,wire,2025-06-15 12:00:00
3,4630,966.23,invoice,2025-09-25 12:00:00
4,6114,1469.8,credit_card,2025-11-29 12:00:00
5,10128,4583.38,wire,2026-05-25 12:00:00
6,6506,491.86,invoice,2025-12-17 12:00:00
7,6097,5193.7,invoice,2025-11-11 12:00:00
8,4031,3577.92,wire,2025-08-15 12:00:00
9,6607,1748.15,wire,2025-12-16 12:00:00
10,358,658.41,ach,2025-02-05 12:00:00
11,3644,1842.22,credit_card,2025-07-26 12:00:00
12,2821,1926.49,wire,2025-06-21 12:00:00
13,10899,1428.56,ach,2026-06-30 12:00:00
14,1415,3683.41,credit_card,2025-04-08 12:00:00
15,4654,437.18,credit_card,2025-09-14 12:00:00
16,11354,415.47,invoice,2026-07-18 12:00:00
17,2883,353.32,credit_card,2025-06-27 12:00:00
18,6921,748.71,invoice,2025-12-25 12:00:00
19,11869,2742.55,wire,2026-08-08 12:00:00
20,2715,3303.2,credit_card,2025-07-03 12:00:00
21,9713,3502.06,ach,2026-05-28 12:00:00
22,1143,92.46,credit_card,2025-04-01 12:00:00
23,12090,586.55,ach,2026-08-12 12:00:00
24,10732,2607.16,wire,2026-07-01 12:00:00
25,10115,3313.62,ach,2026-05-20 12:00:00
26,4082,1331.65,wire,2025-08-19 12:00:00
27,3298,7471.13,credit_card,2025-07-14 12:00:00
28,1409,3396.37,ach,2025-04-14 12:00:00
29,8295,878.4,credit_card,2026-02-10 12:00:00
30,12469,1041.91,invoice,2026-09-25 12:00:00
31,12256,1684.98,invoice,2026-09-23 12:00:00
32,10023,2788.07,credit_card,2026-05-28 12:00:00
33,5305,5032.07,ach,2025-10-05 12:00:00
34,6760,2888.79,ach,2025-12-19 12:00:00
35,9827,3145.4,credit_card,2026-05-23 12:00:00
36,9039,3496.71,invoice,2026-04-11 12:00:00
37,11020,3431.19,ach,2026-07-29 12:00:00
38,3315,5350.62,wire,2025-07-28 12:00:00
39,8808,2192.25,wire,2026-03-22 12:00:00
40,8472,1242.27,ach,2026-03-05 12:00:00
41,1079,3408.96,wire,2025-03-16 12:00:00
42,3335,2649.94,credit_card,2025-07-22 12:00:00
43,9690,3374.07,ach,2026-05-08 12:00:00
44,5169,641.86,ach,2025-10-17 12:00:00
45,2499,1002.83,ach,2025-05-10 12:00:00
46,10763,582.95,wire,2026-06-29 12:00:00
47,2860,6019.6,wire,2025-06-27 12:00:00
48,1698,6913.22,wire,2025-04-17 12:00:00
49,10421,4682.19,ach,2026-06-13 12:00:00
50,6948,5202.32,ach,2025-12-26 12:00:00
51,1979,1709.72,wire,2025-05-21 12:00:00
52,1218,2436.54,invoice,2025-03-09 12:00:00
53,6559,2527.28,credit_card,2025-12-12 12:00:00
54,9878,878.33,credit_card,2026-05-03 12:00:00
55,7579,342.91,ach,2026-01-07 12:00:00
56,11185,8112.83,credit_card,2026-07-02 12:00:00
57,4220,3792.26,invoice,2025-09-05 12:00:00
58,5689,1142.23,invoice,2025-11-11 12:00:00
59,5774,2878.17,wire,2025-11-11 12:00:00
60,9684,2062.99,ach,2026-05-10 12:00:00
61,4027,434.83,ach,2025-08-26 12:00:00
62,10287,1242.87,ach,2026-06-11 12:00:00
63,3170,3467.1,credit_card,2025-07-19 12:00:00
64,9281,1776.38,wire,2026-05-01 12:00:00
65,9117,2637.24,wire,2026-04-09 12:00:00
66,6746,128.96,wire,2025-12-22 12:00:00
67,3560,9032.21,ach,2025-07-01 12:00:00
68,10666,2176.14,invoice,2026-06-13 12:00:00
69,8744,5501.2,ach,2026-03-11 12:00:00
70,654,4269.51,wire,2025-03-19 12:00:00
71,6150,1701.02,wire,2025-11-17 12:00:00
72,291,1366.95,ach,2025-02-17 12:00:00
73,6683,818.82,wire,2025-12-09 12:00:00
74,5876,3264.9,credit_card,2025-11-16 12:00:00
75,3996,5944.44,credit_card,2025-09-04 12:00:00
76,3446,1561.64,ach,2025-07-24 12:00:00
77,10109,4571.87,invoice,2026-06-02 12:00:00
78,5668,763.08,invoice,2025-11-22 12:00:00
79,6201,1268.91,invoice,2025-11-29 12:00:00
80,12670,1676.86,ach,2026-09-23 12:00:00
81,2755,3482.57,wire,2025-06-12 12:00:00
82,7948,3107.16,invoice,2026-02-07 12:00:00
83,4032,3966.94,wire,2025-08-26 12:00:00
84,721,2616.94,invoice,2025-03-04 12:00:00
85,361,532.93,ach,2025-02-23 12:00:00
86,12733,886.73,wire,2026-09-09 12:00:00
87,12295,1285.28,ach,2026-09-14 12:00:00
88,4485,4111.43,invoice,2025-09-30 12:00:00
89,9283,4197.26,invoice,2026-05-05 12:00:00
90,8926,6564.3,invoice,2026-03-12 12:00:00
91,11843,4277.28,invoice,2026-08-23 12:00:00
92,10466,3420.57,wire,2026-06-08 12:00:00
93,11228,3121.93,invoice,2026-07-30 12:00:00
94,6346,2486.43,credit_card,2025-11-02 12:00:00
95,742,898.98,invoice,2025-03-31 12:00:00
96,12170,3723.84,wire,2026-09-20 12:00:00
97,11242,1251.69,invoice,2026-07-08 12:00:00
98,8879,334.23,wire,2026-03-26 12:00:00
99,6197,1361.05,ach,2025-11-14 12:00:00
100,305,497.32,invoice,2025-02-26 12:00:00
101,11147,1177.72,ach,2026-08-02 12:00:00
102,3600,1673.2,ach,2025-07-17 12:00:00
103,8619,1516.09,invoice,2026-03-11 12:00:00
104,8440,3648.02,wire,2026-03-23 12:00:00
105,7203,3113.09,invoice,2025-12-11 12:00:00
106,7035,1567.51,ach,2025-12-16 12:00:00
107,8325,159.66,credit_card,2026-02-01 12:00:00
108,9,423.28,invoice,2025-02-13 12:00:00
109,2352,785.14,credit_card,2025-05-04 12:00:00
110,12007,851.67,wire,2026-09-05 12:00:00
111,5002,1304.49,wire,2025-10-02 12:00:00
112,1023,4465.3,invoice,2025-03-30 12:00:00
113,8248,2565.91,invoice,2026-02-23 12:00:00
114,10260,4445.26,invoice,2026-05-22 12:00:00
115,8927,414.28,credit_card,2026-03-21 12:00:00
116,4502,718.9,ach,2025-09-24 12:00:00
117,4166,6055.41,wire,2025-08-14 12:00:00
118,922,675.64,invoice,2025-03-14 12:00:00
119,6998,7050.38,wire,2025-12-20 12:00:00
120,8305,2889.29,invoice,2026-02-22 12:00:00
121,12486,1679.1,ach,2026-09-07 12:00:00
122,1122,974.78,ach,2025-04-04 12:00:00
123,8135,583.09,wire,2026-02-26 12:00:00
124,9015,477.55,credit_card,2026-03-07 12:00:00
125,9617,1716.61,credit_card,2026-04-05 12:00:00
126,5762,4675.79,ach,2025-11-16 12:00:00
127,469,358.28,ach,2025-02-09 12:00:00
128,8052,2264.18,ach,2026-02-15 12:00:00
129,1352,3101.36,credit_card,2025-04-27 12:00:00
130,11200,1275.7,invoice,2026-07-23 12:00:00
131,5497,2106.1,wire,2025-10-24 12:00:00
132,3548,1472.15,ach,2025-07-12 12:00:00
133,3773,1719.22,wire,2025-08-09 12:00:00
134,1990,270.42,wire,2025-05-16 12:00:00
135,8775,2659.15,credit_card,2026-03-24 12:00:00
136,3018,4060.94,invoice,2025-06-30 12:00:00
137,10704,1275.53,invoice,2026-06-27 12:00:00
138,6364,2526.81,credit_card,2025-11-23 12:00:00
139,3070,6451.96,ach,2025-07-03 12:00:00
140,7389,454.56,invoice,2026-01-27 12:00:00
141,7404,4467.28,credit_card,2026-01-22 12:00:00
142,2345,2020.36,wire,2025-05-22 12:00:00
143,3845,4027.53,ach,2025-08-26 12:00:00
144,9748,2931.39,wire,2026-05-23 12:00:00
145,1458,8478.12,wire,2025-04-24 12:00:00
146,5325,156.62,credit_card,2025-10-14 12:00:00
147,1666,1275.6,invoice,2025-04-17 12:00:00
148,12160,2224.08,invoice,2026-09-17 12:00:00
149,1176,1512.21,invoice,2025-03-16 12:00:00
150,7820,2898.62,credit_card,2026-02-12 12:00:00
151,12763,4440.29,wire,2026-09-09 12:00:00
152,10567,2623.11,ach,2026-06-21 12:00:00
153,5703,3924.82,invoice,2025-11-19 12:00:00
154,9315,1910.52,ach,2026-04-08 12:00:00
155,6272,3958.21,ach,2025-11-07 12:00:00
156,11263,1600.34,ach,2026-07-12 12:00:00
157,3296,2213.07,ach,2025-07-17 12:00:00
158,519,1711.3,invoice,2025-02-28 12:00:00
159,7145,3042.7,ach,2025-12-16 12:00:00
160,4216,2026.76,ach,2025-08-08 12:00:00
161,9576,5884.91,ach,2026-04-24 12:00:00
162,9823,557.15,ach,2026-05-16 12:00:00
163,5264,1177.72,wire,2025-10-12 12:00:00
164,7573,3950.01,credit_card,2026-01-13 12:00:00
165,4468,2372.27,wire,2025-09-15 12:00:00
166,11597,2293.9,invoice,2026-08-18 12:00:00
